item_id,discrim,diff,guess,answer
0,6.9281283284,1,0.7549195583,FALSE
1,1.2724373781,1,0.8277136949,IDK
2,3.7395630528,1,0.3907566641,B
3,5.6226396507,1,0.6642187021,D
4,7.7869014943,2,0.2340430147,B
5,6.0744537108,1,0.6707154037,D
6,2.7095036421,1,0.8545705858,FALSE
7,7.8852877938,3,0.3435464143,TRUE
8,8.5419398849,3,0.1895738733,D
9,7.5374654394,2,0.8265276782,IDK
10,4.9458394425,2,0.2314500895,A
11,3.4570684219,3,0.0005820256,C
12,6.1261304133,2,0.0607026501,B
13,1.7089319825,2,0.5277188893,D
14,8.8056091762,3,0.6956519659,B
15,3.9465828638,3,0.0459680264,IDK
16,9.423913572,2,0.0788803757,A
17,4.4607317045,2,0.4627983747,TRUE
18,5.1077141953,1,0.611980668,TRUE
19,4.8030727049,2,0.2801312623,D
20,3.1083382696,2,0.6063327128,C
21,6.0432607306,2,0.581666484,B
22,9.1903950572,2,0.8926394773,A
23,9.4296676689,1,0.4911423679,A
24,3.089285068,1,0.8819172531,B
25,8.6119260585,3,0.4530020952,TRUE
26,8.9619994464,2,0.1777261789,A
27,8.9405841804,3,0.0115427035,D
28,1.5510908887,2,0.5662144602,B
29,6.152134239,2,0.3291736019,B
30,8.4831471185,1,0.8043720312,IDK
31,4.1671149209,2,0.2243736121,TRUE
32,3.6034247724,2,0.3194838455,A
33,7.2895408806,3,0.8209841638,B
34,1.0085387789,1,0.2646548862,D
35,8.1700495116,2,0.4146543916,C
36,4.5372618982,2,0.1349012407,IDK
37,8.5698140862,3,0.0522757934,TRUE
38,2.4137326612,2,0.5637996446,A
39,7.2593553108,2,0.278987349,IDK
40,6.8498730971,2,0.7143134184,A
41,9.2091547875,2,0.314715557,A
42,8.8681156957,3,0.4143775871,A
43,1.9514261619,2,0.7386396893,D
44,9.3715332381,3,0.5862299199,FALSE
45,6.169957476,1,0.899208141,FALSE
46,3.0972281827,2,0.6578897261,B
47,4.081634246,1,0.058673071,C
48,5.5802721372,2,0.1302212595,D
49,2.0030601963,2,0.9915852817,IDK
50,4.6828282145,1,0.3013528073,B
